event_id,event_slug,event_title,event_endDate,market_id,condition_id,market_slug,market_question,ticker,ticker_source,threshold,week_monday,week_friday,week_sunday,expiry_date_utc,resolution_time_utc,yes_token_id,no_token_id,enable_order_book,active,closed,schema_version
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663092,0x386c775b323152abb646baba9aa9e30e1205cc32b110c9dc5af02c7b1ddf80ba,aapl-above-240-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $240?,AAPL,slug,240.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,16831275131134806214070303498001704751791739609901084622418893134965509110650,47280842936036821118385288824120824196249993487076177574967762904519772633113,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663093,0x19075e51ca2f48461f4ae74145cb286c9c5ed6dcec6e92fe681777396240315a,aapl-above-245-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $245?,AAPL,slug,245.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,33426580049894804800090738196255103778292735598004289584725279353619520051823,11570325416284625465040469457637121370244835189375330211454222794864686400249,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663094,0x990cba3d58733acd20fa7d9e8af9e92ef25f38dec29a759edb2975b3906ace45,aapl-above-250-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $250?,AAPL,slug,250.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,37486880184249408221729159247833205689265086725877941560832226567857896276976,48067093415639073095733968075193184444663990534339394389020479899199343372292,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663095,0x88b5868ab0cebc4a51432387a898459b2d639fdf951f6687ddecc61d1255fe7d,aapl-above-255-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $255?,AAPL,slug,255.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,23023291918880834655503767489718527257776897737847508731181215104319232544486,6747253622026571121155111906512161614562936516554490892071281501004638843243,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663096,0xa41a138efced752f4bdf941bdd027ec52532e85b5882adf2db98eed3ed60c6e6,aapl-above-260-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $260?,AAPL,slug,260.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,44912229188581989074971943340814007081138392885915673812780305261225055511478,25506319853789384779914899668810659081099901233013813082338368548118839644709,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663097,0x8279d9a40b89d42e364beed8737f1a9e878b7653c55d34addc6c122213ef43e5,aapl-above-265-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $265?,AAPL,slug,265.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,82329913305538766584142658369980094891704803436564243874560497404582158048406,27828105460697026018529095568322098996371932082320509820497885248068654747890,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663098,0xdcdfd000d7496bc4f51701087ddb29b6d9c440dbcfa9d3a44f3edda0ba66d3d6,aapl-above-270-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $270?,AAPL,slug,270.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,8727807926527552770646989388461455446268292937857783114127419212358382276649,6048862847202275028140702875549511702986703794117277899601703145034256626013,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663099,0x58d5c294864f598d67dfdcb2382276b0029992fecd02ada4640363ab128b310d,aapl-above-275-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $275?,AAPL,slug,275.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,77475290325060451676279797147601163313792528845176403185230001503631282974668,19215980099757581629299923435782783717052081876707027861843271630872844683967,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663100,0x4b1bc1db9f520d01c97222db15a4ae339028f17580797ad5de4897d651fa3c37,aapl-above-280-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $280?,AAPL,slug,280.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,14134858229759596476151998989902431584998862534002893894683297860169439013814,74371809415454227655422923236443867204086858768752078897058434599963612391685,True,True,True,pm_weekly_markets_v1.0
72232,aapl-above-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above___?,2025-11-14,663101,0x4cc0cd179d9345ae985bb26ac340ca11dfaecdf91ea71147fcc43eecaa7ca204,aapl-above-285-on-november-14-2025,Will Apple (AAPL) finish week of November 10 above $285?,AAPL,slug,285.0,2025-11-10,2025-11-14,2025-11-16,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,104552474168316681330213586071458543898911012968478560225527574404253214591085,60208900769265197065499820726672484190964082947374119845350409894166361680021,True,True,True,pm_weekly_markets_v1.0
